"ASV","s.Diabetic_female","s.Diabetic_male","s.Non-diabetic_female","s.Non-diabetic_male","s.Pre-diabetic_female","s.Pre-diabetic_male","index","stat","p.value","Domain","Phylum","Class","Order","Family","Genus","Species"
"08d1cd1a6131062439bab2aacbb63934",0,1,0,0,0,0,2,0.31460788475386,0.04,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pasteurellales","f__Pasteurellaceae","g__Rodentibacter",NA
"50f754bd703030b144a0ba3d9d3081c2",1,1,0,0,0,0,7,0.639582358767109,0.01,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas",NA
"61c4a9f2cd731b48b0da2cbbcf564f75",1,0,0,0,0,0,1,0.321963780843109,0.035,"d__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Rhizobiaceae",NA,NA
"068b275f0f1e2ffdd3ed632908c3227a",1,0,0,0,0,0,1,0.514851018976758,0.015,"d__Bacteria","p__Spirochaetota","c__Spirochaetia","o__Spirochaetales","f__Spirochaetaceae","g__Treponema","s__Treponema_succinifaciens"
"56217131417832f82b7d3647d1bb7223",1,0,0,0,0,0,1,0.303126650806452,0.04,"d__Bacteria","p__Verrucomicrobiota","c__Lentisphaeria","o__Oligosphaerales","f__Oligosphaeraceae","g__Z20","s__uncultured_bacterium"
"b78c241e6d4b36411b99293656cadb9b",1,1,0,0,0,1,25,0.560100427475112,0.005,"d__Bacteria","p__Actinobacteriota","c__Coriobacteriia","o__Coriobacteriales","f__Atopobiaceae","g__Libanicoccus","s__uncultured_bacterium"
"e0b087a63a594971171c706b8160e878",1,0,0,0,0,0,1,0.329161520418831,0.005,"d__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Corynebacteriales","f__Nocardiaceae","g__Nocardia",NA
"3a30e857e02486d2c470155f29e857b1",1,0,0,0,0,0,1,0.565229301560924,0.01,"d__Bacteria","p__Firmicutes","c__Bacilli","o__Erysipelotrichales","f__Erysipelotrichaceae","g__uncultured","s__uncultured_bacterium"
"5fe8b1bb5aafc15626cc3e776e76db5b",1,1,1,0,0,1,44,0.598552424430034,0.03,"d__Bacteria","p__Firmicutes","c__Bacilli","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Turicibacter",NA
"da76fb34b51f67a2092ac7da36135cba",1,0,0,0,0,0,1,0.601190615414169,0.025,"d__Bacteria","p__Synergistota","c__Synergistia","o__Synergistales","f__Synergistaceae","g__Cloacibacillus","s__Cloacibacillus_porcorum"
"f61515fd356256945a98da69e1a079c6",0,1,0,0,0,0,2,0.354980832680623,0.025,"d__Bacteria","p__Synergistota","c__Synergistia","o__Synergistales","f__Synergistaceae","g__Fretibacterium",NA
"ce4bb485676005b11dba691b141202ba",1,0,0,0,0,0,1,0.387250583645821,0.015,"d__Bacteria","p__Synergistota","c__Synergistia","o__Synergistales","f__Synergistaceae","g__Pyramidobacter",NA
"ebb8840e17ef9ca8d83ff2c101f12476",0,1,0,0,0,1,15,0.343171964691344,0.035,"d__Bacteria","p__Elusimicrobiota","c__Elusimicrobia","o__Elusimicrobiales","f__Elusimicrobiaceae","g__Elusimicrobium","s__uncultured_bacterium"
"9e0f53994725a06e15a4a3a0867a9d8a",1,1,0,1,1,1,60,0.620454843186643,0.03,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__uncultured","s__Prevotellaceae_bacterium"
"f0431a469fa92a53624a929c9ac89d49",1,0,0,0,0,0,1,0.33295409438786,0.015,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__M2PB4-65_termite_group","g__M2PB4-65_termite_group","s__uncultured_bacterium"
"02f1a8106182f0c3e7c8b9391b9e9393",1,0,1,1,1,1,61,0.758158736887871,0.015,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Barnesiellaceae","g__Barnesiella",NA
"3d38dbb3c67b715bc866c6ee8fdba688",1,0,0,0,0,0,1,0.430170965247576,0.03,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Marinifilaceae","g__Sanguibacteroides","s__Gabonibacter_massiliensis"
"f63d207c58dca30853f179e1ca8dbcb6",1,0,0,0,1,0,10,0.410159605039282,0.04,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Barnesiellaceae","g__Coprobacter",NA
"9ebadb0db8f1bac20371cd160291d10c",1,0,0,0,0,0,1,0.45600776133369,0.045,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Tannerellaceae",NA,NA
"11f05d4f31361da0c764162fa6345b3a",1,1,1,0,1,1,59,0.554794403580059,0.04,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Porphyromonadaceae","g__Porphyromonas","s__Porphyromonas_asaccharolytica"
"79772a312639bfce710efb6ca1bb76fe",1,0,0,0,0,0,1,0.330817397071497,0.015,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Caldicoprobacterales","f__Caldicoprobacteraceae","g__Caldicoprobacter","s__uncultured_bacterium"
"2b46fd4ac8dfac3b4487ff54b35c72f3",1,0,1,0,1,1,50,0.561073371309517,0.04,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Christensenellales","f__Christensenellaceae",NA,NA
"919d57d95338dda297766436ba274451",1,1,1,0,1,0,43,0.589368685575805,0.015,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__DTU089",NA
"b73fbc0b927d0bd9b62af335bba32508",0,1,0,0,0,0,2,0.328742024434754,0.045,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Harryflintia",NA
"1016883ef095d4a51045a0df4cb636a9",1,0,1,1,1,1,61,0.791198661237363,0.015,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__[Eubacterium]_siraeum_group","s__[Eubacterium]_siraeum"
"e7af662ed540fdd1a70631714844c654",0,1,0,0,0,0,2,0.37982013828158,0.045,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Stomatobaculum","s__uncultured_bacterium"
"4cc37dc9873be54e76a31ebacfaf8670",1,1,1,0,1,0,43,0.492905338888032,0.035,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Eisenbergiella",NA
"8cfaec510ef32f0e15a059dc30134564",1,0,0,0,0,0,1,0.664080997364541,0.005,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Butyrivibrio",NA
"19c69b6eaee09bce9f906d57706b83ef",1,1,0,1,1,1,60,0.532680869223989,0.035,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Oribacterium","s__uncultured_bacterium"
