"ASV","Diabetic_Male","Diabetic_Female","Pre-diabetic_Male","Pre-diabetic_Female","Non-diabetic_Male","Non-diabetic_Female"
"1585491003a692e661e3e84794a0c541","g__Escherichia-Shigella",NA,"g__Escherichia-Shigella","g__Escherichia-Shigella","g__Escherichia-Shigella","g__Escherichia-Shigella"
"2aaf0033ce84e01119d693eae242046a",NA,NA,NA,"g__Romboutsia",NA,NA
"2bc2997b5056a6f6942cf3cb9803fd65","g__Collinsella","g__Collinsella","g__Collinsella","g__Collinsella","g__Collinsella","g__Collinsella"
"3a9fc45622619d3fd38007c1852eb7cd","g__Prevotella",NA,NA,NA,NA,NA
"4c4870c518f10789b64f68d3383fa3c2","g__Subdoligranulum",NA,"g__Subdoligranulum","g__Subdoligranulum","g__Subdoligranulum","g__Subdoligranulum"
"ad8cb148d12fdd8fe6c4bb11b8643cf0",NA,"g__Enterorhabdus",NA,NA,NA,NA
"ba25b483e0c1eb74add301672045586a",NA,"g__UCG-002","g__UCG-002",NA,NA,NA
"c7dad10896f6c10619ec4d963d5a0d4c",NA,NA,"g__Dorea","g__Dorea","g__Dorea","g__Dorea"
"ed8930aed9ccc63f5b22fd4229ef3361","g__Subdoligranulum","g__Subdoligranulum","g__Subdoligranulum","g__Subdoligranulum","g__Subdoligranulum","g__Subdoligranulum"
"f118662f3e5f209f582ffbaf39e21807",NA,NA,"g__Blautia","g__Blautia",NA,NA
"fb9fff85b91dae8de2154b82cd2ca4b5",NA,NA,"g__Faecalibacterium","g__Faecalibacterium","g__Faecalibacterium",NA
"fd4d5be53f7b770860c049540825b711","g__Prevotella",NA,"g__Prevotella",NA,NA,NA
